week,product,Q,Visitors,P,C
1,1,18,18299,3.33,2.1
2,1,19,17691,3.35,2.13
3,1,16,17490,3.36,2.14
4,1,17,17835,3.28,2.05
5,1,10,18284,3.27,2.03
6,1,11,18391,3.31,2.09
7,1,24,18132,3.29,2.06
8,1,12,17494,3.29,2.06
9,1,9,17122,3.35,2.13
10,1,9,17122,3.35,2.13
11,1,13,15935,3.31,2.13
12,1,12,16043,3.23,2.05
13,1,19,16163,3.26,2.08
14,1,12,17545,3.42,2.1
15,1,12,16775,3.53,2.22
16,1,7,16862,3.63,2.35
17,1,17,17028,3.53,2.25
18,1,19,17125,3.51,2.25
19,1,18,17568,2.18,1.4
20,1,15,17249,3.56,2.28
21,1,15,19166,3.46,2.18
22,1,19,16733,3.5,2.23
23,1,15,16960,3.52,2.23
24,1,11,17216,3.57,2.28
25,1,16,17187,3.6,2.33
26,1,13,16908,3.47,2.19
27,1,11,16637,3.51,2.23
28,1,20,17352,3.53,2.26
29,1,19,16708,3.5,2.23
30,1,12,17292,3.51,2.24
31,1,14,16417,3.56,2.28
32,1,17,16760,3.44,2.18
33,1,14,17167,3.52,2.25
34,1,11,17923,3.55,2.29
35,1,15,16728,3.57,2.28
36,1,14,16919,3.53,2.28
37,1,19,16893,3.57,2.29
38,1,18,17724,2.75,1.77
39,1,13,16360,3.54,2.26
40,1,5,16066,3.52,2.25
41,1,14,21890,3.54,2.27
42,1,15,15911,3.55,2.29
43,1,11,18149,3.56,2.3
44,1,13,17840,3.45,2.2
45,1,21,18433,3.53,2.26
46,1,10,18329,3.59,2.32
47,1,14,17334,3.49,2.23
48,1,14,17122,3.52,2.25
1,2,24,18299,4.65,3.5
2,2,20,17691,4.71,3.35
3,2,16,17490,4.77,3.4
4,2,22,17835,4.85,3.29
5,2,15,18284,4.82,3.35
6,2,26,18391,4.81,3.29
7,2,20,18132,4.73,3.49
8,2,15,17494,4.84,3.34
9,2,11,17122,4.88,3.5
10,2,11,17122,4.88,3.5
11,2,16,15935,4.84,3.35
12,2,17,16043,4.87,3.38
13,2,9,16163,4.69,3.41
14,2,24,17545,5.21,3.56
15,2,21,16775,5.09,3.69
16,2,26,16862,4.61,3.53
17,2,29,17028,4.78,3.75
18,2,13,17125,5.01,3.84
19,2,18,17568,4.99,3.96
20,2,11,17249,5.08,3.94
21,2,20,19166,5.09,3.8
22,2,28,16733,5.08,3.83
23,2,15,16960,5.11,3.79
24,2,16,17216,5.14,3.79
25,2,17,17187,5.17,3.82
26,2,18,16908,5.03,3.87
27,2,22,16637,5.03,3.92
28,2,27,17352,5.19,3.86
29,2,20,16708,5.21,3.83
30,2,26,17292,4.65,3.73
31,2,19,16417,5.27,3.8
32,2,18,16760,5.21,3.79
33,2,17,17167,5.26,3.77
34,2,13,17923,5.16,3.57
35,2,20,16728,5.33,3.6
36,2,17,16919,4.6,3.64
37,2,26,16893,4.54,3.65
38,2,14,17724,5.28,3.64
39,2,13,16360,5.19,3.84
40,2,25,16066,4.55,3.72
41,2,28,21890,4.6,3.79
42,2,12,15911,5.02,3.8
43,2,18,18149,5.15,3.83
44,2,12,17840,5.16,3.77
45,2,14,18433,5.25,3.7
46,2,19,18329,5.08,3.72
47,2,27,17334,5.12,3.81
48,2,28,17122,5.2,3.69
1,3,12,18299,6.68,5.49
2,3,22,17691,7.05,5.72
3,3,23,17490,7.02,5.64
4,3,14,17835,6.97,5.62
5,3,15,18284,7.03,5.66
6,3,12,18391,6.96,5.45
7,3,16,18132,6.87,5.45
8,3,19,17494,7.32,5.65
9,3,23,17122,6.97,5.51
10,3,23,17122,6.97,5.51
11,3,19,15935,6.04,5.45
12,3,13,16043,6.74,5.58
13,3,14,16163,7.09,5.57
14,3,15,17545,7.11,5.21
15,3,10,16775,7.57,5.32
16,3,7,16862,7.56,5.38
17,3,7,17028,7.35,5.46
18,3,17,17125,7.5,5.65
19,3,17,17568,6.31,5.65
20,3,22,17249,7.42,5.75
21,3,9,19166,7.26,5.64
22,3,17,16733,7.05,5.64
23,3,8,16960,7.58,5.66
24,3,10,17216,7,5.63
25,3,10,17187,7.9,6.08
26,3,7,16908,7.05,5.54
27,3,9,16637,7.56,5.94
28,3,16,17352,7.41,5.86
29,3,10,16708,7.75,5.97
30,3,11,17292,7.2,5.71
31,3,9,16417,6.36,5.34
32,3,18,16760,6.26,5.61
33,3,11,17167,6.54,5.75
34,3,16,17923,6.53,5.76
35,3,18,16728,6.69,5.84
36,3,13,16919,7.55,6.2
37,3,10,16893,6.82,6.11
38,3,7,17724,6.83,6.02
39,3,11,16360,6.98,6.12
40,3,12,16066,6.99,6.09
41,3,15,21890,7.25,6.23
42,3,6,15911,6.94,6.05
43,3,20,18149,7.14,6.18
44,3,9,17840,7.09,6.13
45,3,11,18433,6.98,6.12
46,3,14,18329,7.09,5.88
47,3,22,17334,6.35,5.97
48,3,23,17122,6.35,5.97
1,4,23,18299,2.67,2.02
2,4,25,17691,2.67,2.02
3,4,18,17490,2.67,2.02
4,4,21,17835,2.67,2.02
5,4,17,18284,2.83,2.02
6,4,16,18391,2.49,2.02
7,4,14,18132,2.49,2.02
8,4,14,17494,2.83,2.1
9,4,15,17122,2.83,2.1
10,4,15,17122,2.83,2.1
11,4,16,15935,2.83,2.01
12,4,8,16043,2.83,2.01
13,4,6,16163,2.83,2
14,4,16,17545,2.83,2
15,4,16,16775,2.83,2
16,4,6,16862,2.97,2
17,4,16,17028,2.97,2
18,4,17,17125,2.97,2.01
19,4,8,17568,2.97,2.09
20,4,11,17249,2.97,2.05
21,4,15,19166,2.97,2.04
22,4,11,16733,2.97,2.07
23,4,12,16960,2.97,2.07
24,4,13,17216,2.97,2.11
25,4,15,17187,2.97,2.11
26,4,15,16908,2.97,2.11
27,4,13,16637,2.97,2.11
28,4,12,17352,2.97,2.11
29,4,13,16708,2.97,2.11
30,4,13,17292,2.97,2.11
31,4,23,16417,2.97,2.11
32,4,22,16760,2.97,2.11
33,4,12,17167,2.97,2.11
34,4,18,17923,2.97,2.11
35,4,2,16728,2.97,2.11
36,4,1,16919,2.99,2.03
37,4,1,16893,2.99,2.03
38,4,8,17724,2.97,2
39,4,13,16360,2.97,2
40,4,14,16066,2.97,2
41,4,14,21890,2.97,2
42,4,14,15911,2.97,2
43,4,12,18149,2.97,1.88
44,4,14,17840,2.97,1.88
45,4,13,18433,2.97,1.88
46,4,21,18329,2.97,1.88
47,4,16,17334,2.79,1.88
48,4,18,17122,2.79,1.88
1,5,12,18299,4.97,3.46
2,5,15,17691,4.97,3.46
3,5,8,17490,4.97,3.46
4,5,16,17835,4.69,3.46
5,5,12,18284,4.69,3.46
6,5,11,18391,4.69,3.46
7,5,12,18132,4.69,3.46
8,5,7,17494,5.29,3.46
9,5,13,17122,5.29,3.46
10,5,13,17122,5.29,3.46
11,5,5,15935,5.29,3.46
12,5,7,16043,5.29,3.46
13,5,6,16163,5.29,3.46
14,5,9,17545,5.29,3.46
15,5,4,16775,5.29,3.46
16,5,6,16862,5.29,3.54
17,5,7,17028,5.29,3.54
18,5,11,17125,5.29,3.61
19,5,7,17568,5.29,3.61
20,5,9,17249,5.03,3.61
21,5,12,19166,5.03,3.61
22,5,14,16733,5.03,3.61
23,5,17,16960,5.03,3.61
24,5,6,17216,5.29,3.66
25,5,6,17187,5.29,3.64
26,5,5,16908,5.29,3.88
27,5,9,16637,5.29,3.89
28,5,8,17352,5.29,3.9
29,5,6,16708,5.29,3.9
30,5,10,17292,5.29,3.9
31,5,7,16417,5.29,3.9
32,5,11,16760,5.29,3.65
33,5,49,17167,4.07,3.49
34,5,12,17923,5.29,3.64
35,5,21,16728,5.29,3.64
36,5,26,16919,3.99,3.64
37,5,19,16893,5.29,3.64
38,5,7,17724,5.29,3.64
39,5,10,16360,5.29,3.64
40,5,3,16066,5.29,3.64
41,5,7,21890,5.29,3.76
42,5,10,15911,5.29,3.67
43,5,13,18149,5.29,3.76
44,5,2,17840,5.29,3.78
45,5,10,18433,5.29,3.76
46,5,6,18329,5.29,3.81
47,5,13,17334,5.29,3.73
48,5,11,17122,5.29,3.73
1,6,1,18299,7.99,5.84
2,6,2,17691,7.99,5.84
3,6,8,17490,7.99,5.83
4,6,7,17835,7.56,5.96
5,6,3,18284,7.56,5.95
6,6,1,18391,7.56,5.83
7,6,2,18132,7.56,5.79
8,6,13,17494,7.99,5.77
9,6,4,17122,7.99,5.76
10,6,4,17122,7.99,5.76
11,6,6,15935,8.39,5.76
12,6,5,16043,8.37,5.77
13,6,3,16163,8.36,6.18
14,6,2,17545,8.34,6.3
15,6,6,16775,8.36,6.12
16,6,1,16862,8.39,5.76
17,6,1,17028,8.39,5.76
18,6,5,17125,8.39,6.04
19,6,2,17568,8.39,5.81
20,6,7,17249,8.39,5.97
21,6,1,19166,8.39,5.81
22,6,2,16733,8.39,6.1
23,6,2,16960,8.39,6.05
24,6,2,17216,8.39,6.05
25,6,8,17187,8.39,6.06
26,6,10,16908,6.99,6.32
27,6,12,16637,6.99,6.28
28,6,3,17352,8.39,6.54
29,6,2,16708,8.39,6.54
30,6,5,17292,8.39,6.18
31,6,1,16417,8.39,6.19
32,6,5,16760,8.39,6.18
33,6,4,17167,8.39,6.19
34,6,4,17923,8.39,6.18
35,6,4,16728,8.39,6.18
36,6,5,16919,8.39,6.18
37,6,2,16893,8.39,6.19
38,6,5,17724,8.39,6.11
39,6,7,16360,8.39,6.11
40,6,8,16066,7.94,6.07
41,6,13,21890,7.94,6.17
42,6,3,15911,7.94,6.17
43,6,3,18149,7.94,6.29
44,6,6,17840,8.39,6.25
45,6,8,18433,8.39,6.24
46,6,4,18329,8.39,6.21
47,6,2,17334,8.39,6.53
48,6,8,17122,8.39,6.55
1,7,4,18299,2.19,1.58
2,7,5,17691,2.48,1.7
3,7,3,17490,2.67,1.78
4,7,5,17835,2.77,1.82
5,7,7,18284,2.81,1.83
6,7,8,18391,2.73,1.8
7,7,10,18132,2.48,1.7
8,7,6,17494,3.05,1.97
9,7,2,17122,2.33,1.6
10,7,2,17122,2.33,1.6
11,7,3,15935,3.1,1.98
12,7,3,16043,2.33,1.6
13,7,5,16163,2.33,1.6
14,7,9,17545,2.62,1.74
15,7,4,16775,2.33,1.6
16,7,6,16862,2.55,1.7
17,7,8,17028,2.66,1.81
18,7,3,17125,2.76,1.87
19,7,2,17568,2.33,1.66
20,7,6,17249,2.22,1.66
21,7,1,19166,2.22,1.66
22,7,5,16733,2.22,1.66
23,7,4,16960,2.93,2.02
24,7,4,17216,2.66,1.84
25,7,1,17187,2.49,1.66
26,7,1,16908,2.49,1.7
27,7,2,16637,2.49,1.7
28,7,3,17352,2.49,1.75
29,7,2,16708,2.49,1.75
30,7,5,17292,2.49,1.75
31,7,4,16417,2.49,1.75
32,7,3,16760,3.32,2.22
33,7,1,17167,2.49,1.9
34,7,5,17923,2.99,2.09
35,7,1,16728,2.49,1.9
36,7,5,16919,2.49,1.9
37,7,4,16893,2.49,1.9
38,7,1,17724,2.49,1.9
39,7,1,16360,2.49,1.9
40,7,2,16066,2.49,1.9
41,7,5,21890,2.59,1.9
42,7,5,15911,2.69,1.9
43,7,3,18149,2.66,1.84
44,7,4,17840,2.53,1.83
45,7,6,18433,2.48,1.82
46,7,1,18329,2.38,1.79
47,7,7,17334,2.47,1.81
48,7,9,17122,2.52,1.82
1,8,1,18299,3.57,2.34
2,8,3,17691,3.49,2.08
3,8,1,17490,3.49,2.08
4,8,1,17835,3.49,2.08
5,8,2,18284,3.49,2.08
6,8,1,18391,3.49,2.08
7,8,1,18132,3.49,2.08
8,8,2,17494,3.34,2.08
9,8,4,17122,3.34,2.08
10,8,4,17122,3.34,2.08
11,8,3,15935,3.34,2.08
12,8,3,16043,3.34,2.23
13,8,2,16163,3.49,2.23
14,8,2,17545,3.49,2.23
15,8,4,16775,3.49,2.23
16,8,2,16862,3.49,2.23
17,8,2,17028,3.49,2.32
18,8,1,17125,3.49,2.35
19,8,3,17568,3.49,2.35
20,8,5,17249,3.49,2.35
21,8,3,19166,3.49,2.36
22,8,1,16733,3.57,2.34
23,8,1,16960,3.49,2.38
24,8,2,17216,3.49,2.38
25,8,1,17187,3.79,2.38
26,8,1,16908,3.79,2.37
27,8,1,16637,3.57,2.34
28,8,3,17352,3.79,2.38
29,8,3,16708,3.79,2.38
30,8,1,17292,3.79,2.38
31,8,1,16417,3.57,2.34
32,8,5,16760,3.64,2.38
33,8,5,17167,3.64,2.38
34,8,4,17923,3.64,2.38
35,8,7,16728,3.64,2.38
36,8,5,16919,3.79,2.38
37,8,6,16893,3.78,2.47
38,8,5,17724,3.83,2.7
39,8,6,16360,3.85,2.96
40,8,4,16066,3.84,2.79
41,8,8,21890,3.91,3.38
42,8,4,15911,4.22,2.79
43,8,5,18149,4.47,3.03
44,8,7,17840,4.17,2.84
45,8,2,18433,4.74,3.32
46,8,7,18329,4.43,3.07
47,8,12,17334,4.44,3.08
48,8,8,17122,4.61,3.25
1,9,8,18299,3.97,3.72
2,9,10,17691,3.97,3.71
3,9,7,17490,3.97,3.71
4,9,9,17835,3.97,3.72
5,9,12,18284,3.97,3.71
6,9,24,18391,3.79,3.72
7,9,8,18132,3.97,3.72
8,9,23,17494,3.97,3.71
9,9,6,17122,3.97,3.69
10,9,6,17122,3.97,3.69
11,9,11,15935,3.97,3.7
12,9,5,16043,3.97,3.71
13,9,8,16163,3.97,3.7
14,9,17,17545,3.97,3.7
15,9,15,16775,3.97,3.71
16,9,12,16862,3.79,3.7
17,9,10,17028,3.79,3.71
18,9,8,17125,3.97,3.71
19,9,10,17568,3.97,3.71
20,9,9,17249,3.97,3.71
21,9,6,19166,3.97,3.71
22,9,5,16733,3.97,3.74
23,9,4,16960,3.97,3.74
24,9,8,17216,3.73,3.72
25,9,3,17187,3.73,3.72
26,9,12,16908,3.73,3.72
27,9,11,16637,3.73,3.72
28,9,8,17352,4.29,3.74
29,9,10,16708,4.29,3.74
30,9,11,17292,3.75,3.71
31,9,10,16417,3.75,3.7
32,9,7,16760,4.02,3.79
33,9,7,17167,4.02,3.79
34,9,5,17923,4.02,3.79
35,9,8,16728,4.02,3.88
36,9,11,16919,4.29,4.01
37,9,6,16893,4.29,4.07
38,9,11,17724,3.99,3.9
39,9,11,16360,3.99,3.95
40,9,6,16066,3.98,3.78
41,9,10,21890,3.98,3.61
42,9,7,15911,4.29,3.58
43,9,14,18149,4.29,3.61
44,9,8,17840,4.29,3.64
45,9,6,18433,4.29,3.63
46,9,7,18329,4.29,3.6
47,9,11,17334,4.29,3.59
48,9,9,17122,4.29,3.65
1,10,14,18299,1.79,0.9
2,10,16,17691,1.87,0.94
3,10,11,17490,1.76,0.88
4,10,10,17835,1.85,0.93
5,10,16,18284,1.82,0.91
6,10,11,18391,1.84,0.93
7,10,13,18132,1.8,0.9
8,10,13,17494,1.81,0.91
9,10,12,17122,1.82,0.92
10,10,12,17122,1.82,0.92
11,10,10,15935,1.69,0.93
12,10,11,16043,1.69,0.92
13,10,11,16163,1.69,0.83
14,10,3,17545,1.69,0.83
15,10,1,16775,1.91,0.91
16,10,12,16862,1.69,0.83
17,10,11,17028,1.69,0.83
18,10,5,17125,1.69,0.89
19,10,11,17568,1.69,0.9
20,10,11,17249,1.69,0.87
21,10,16,19166,1.69,0.91
22,10,10,16733,1.69,0.92
23,10,9,16960,1.69,0.92
24,10,6,17216,1.69,0.92
25,10,11,17187,1.69,0.92
26,10,9,16908,2.78,0.92
27,10,10,16637,2.78,0.92
28,10,22,17352,1.69,0.92
29,10,1,16708,1.89,0.92
30,10,6,17292,1.89,0.92
31,10,6,16417,2.78,0.92
32,10,1,16760,1.91,0.91
33,10,1,17167,1.91,0.91
34,10,1,17923,1.91,0.91
35,10,1,16728,1.91,0.91
36,10,2,16919,1.99,0.92
37,10,4,16893,1.99,0.92
38,10,5,17724,1.99,0.92
39,10,4,16360,1.99,0.92
40,10,1,16066,1.91,0.91
41,10,3,21890,1.99,0.92
42,10,1,15911,1.99,0.92
43,10,3,18149,1.99,0.92
44,10,7,17840,1.99,0.92
45,10,4,18433,1.69,0.92
46,10,2,18329,1.69,0.92
47,10,5,17334,1.69,0.92
48,10,7,17122,1.69,0.92
1,11,1,18299,4.49,1.92
2,11,1,17691,4.49,1.92
3,11,1,17490,4.49,1.92
4,11,1,17835,4.49,1.92
5,11,1,18284,4.49,1.92
6,11,1,18391,4.49,1.92
7,11,1,18132,4.49,1.92
8,11,1,17494,4.49,1.92
9,11,1,17122,4.49,1.92
10,11,1,17122,4.49,1.92
11,11,7,15935,5.32,2.04
12,11,3,16043,5.36,2.07
13,11,5,16163,5.45,2.15
14,11,5,17545,5.49,2.18
15,11,7,16775,5.38,2.09
16,11,5,16862,5.41,2.11
17,11,9,17028,5.45,2.14
18,11,14,17125,5.38,2.09
19,11,5,17568,4.71,2.08
20,11,10,17249,4.71,2.08
21,11,10,19166,4.73,2.07
22,11,5,16733,4.67,2.11
23,11,11,16960,4.66,2.12
24,11,5,17216,4.75,2.05
25,11,6,17187,4.79,2.02
26,11,7,16908,3.99,2.09
27,11,11,16637,3.99,2.05
28,11,13,17352,3.99,2.06
29,11,6,16708,4.66,2.13
30,11,8,17292,4.74,2.06
31,11,8,16417,4.52,1.98
32,11,10,16760,3.67,1.45
33,11,14,17167,4.06,1.81
34,11,13,17923,4.21,1.9
35,11,11,16728,4.24,1.93
36,11,12,16919,3.96,1.73
37,11,15,16893,3.76,1.66
38,11,13,17724,3.87,1.67
39,11,13,16360,4.36,2.01
40,11,9,16066,3.5,1.42
41,11,13,21890,4.28,1.96
42,11,6,15911,3.82,1.64
43,11,18,18149,4.18,1.88
44,11,15,17840,4.03,1.78
45,11,9,18433,4.19,1.89
46,11,9,18329,4.15,1.86
47,11,10,17334,4.19,1.89
48,11,11,17122,4.19,1.89
